published_at,brand,content,Customer ID,Question,Tenure Type,Management area,Age Group,Ethnicity,Property Type,Disability (No Data for 2023)
01/04/2023,TSM Survey,If I need any repairs  done they come straight out or come out the next day,BREN010210010,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,36-45,White British,House,
01/04/2023,TSM Survey,Keep you updated,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,46-55,White British,Flat,
01/04/2023,TSM Survey,I have had no issues.,WORT020150001,Why would you say you are satisfied with the service provided?,General Needs,Stockton,46-55,White British,House,
01/04/2023,TSM Survey,Very good housing and very friendly service,MILT010770106,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,56-65,White British,Flat,
01/04/2023,TSM Survey,great service,PLAN010590001,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,56-65,White British,House,
01/04/2023,TSM Survey,Made sure that I got my heating and hot water back on the same day he arrived,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,56-65,White British,Flat,
01/04/2023,TSM Survey,Generally rent is fair and necessary work and repairs are carried out saisfactorily,ST P030840009,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White British,House,
01/04/2023,TSM Survey,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,BALD010050001,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White British,Flat,
01/04/2023,TSM Survey,so far jobs have been carried out as promised,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Teesdale,Over 75,White British,Bungalow,
01/04/2023,TSM Survey,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",PARK030100001,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,Over 75,White British,House,
01/04/2023,TSM Survey,From getting the phone call to offer me the house nicola was fantastic throughout it all,PION020430001,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,because you are honnest,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Black or Black British African,House,
01/04/2023,TSM Survey,"Efficiency, reliability, prompt responses.",Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,Bungalow,
01/04/2023,TSM Survey,Helpfull,NENT010050006,Why would you say you are satisfied with the service provided?,General Needs,Darlington,25 and under,White British,House,
01/04/2023,TSM Survey,Very good service,LARV020050005,Why would you say you are satisfied with the service provided?,General Needs,Skinningrove,36-45,White Other,House,
01/04/2023,TSM Survey,Workers great help respectful,AIDA010040003,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,White British,House,
01/04/2023,TSM Survey,"Prompt repair, lovely repair man and a job well done",AYRE030310001,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Asian or Asian British Indian,House,
01/04/2023,TSM Survey,All and any issues resolved quickly,MITC021150001,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,66-75,White British,House,
01/04/2023,TSM Survey,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",COPE010190002,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,66-75,White British,House,
