publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2022-10-09,Brand A,If I need any repairs  done they come straight out or come out the next day,WELL020780003,Why is inference so slow on new data?,Leasehold,Barnard Castle,18-25,Other,Bungalow
2022-05-14,Brand D,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,WELL020780003,How can I improve model precision?,Private Rental,Cotherstone,46-60,Mixed,Maisonette
2021-06-22,Brand D,From getting the phone call to offer me the house nicola was fantastic throughout it all,MANS010810009,Why is inference so slow on new data?,Leasehold,Carlinhow,46-60,White,Flat
2024-03-17,Brand A,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",LARV020050005,How can I improve model precision?,Leasehold,Teesdale,26-35,Other,Maisonette
2024-09-12,Brand B,I have no problem with them.,LARV020050005,What causes high variance in predictions?,Shared Ownership,Stockton,18-25,White,Maisonette
2023-03-24,Brand D,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",Anonymous,How can I improve model precision?,Private Rental,Barnard Castle,18-25,White,Studio
2024-08-08,Brand A,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",AYRE030310001,How do I handle missing values?,Shared Ownership,Stanley,18-25,Other,Studio
2022-06-30,Brand B,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",EMBL010020002,What hyperparameters should I tune?,Private Rental,Teesdale,26-35,Asian,Studio
2023-10-24,Brand B,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,Anonymous,How can I improve model precision?,Private Rental,Cockfield,18-25,Black,House
2022-09-06,Brand D,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",WORT020150001,What hyperparameters should I tune?,Shared Ownership,Consett,46-60,Asian,Flat
